claim_id,product_name,category,brand,model_number,serial_number,retailer,purchase_date,purchase_price,warranty_duration_months,warranty_end_date,claim_date,product_age_days,remaining_warranty_days,fault_type,fault_covered,repair_history_count,serial_number_entered,serial_number_match,documents_provided,missing_document_count,claim_date_before_purchase,repair_date_before_purchase,class_label,split
CLM-000015,Smartphone,Electronics,Nova,NV-100,SN24716857,MegaMart Electronics,2022-10-11,818.0,18,2024-04-03,2024-03-10,516,24,Component failure,True,0,SN24716857,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000016,Washing Machine,Home Appliance,Cleanwave,CW-750D,SN81016525,MegaMart Electronics,2024-05-14,953.98,24,2026-05-04,2026-04-08,694,26,Battery defect,True,0,SN81016525,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000017,Smartphone,Electronics,Nova,NV-X1,SN45812670,TechHub Store,2022-01-24,313.64,24,2024-01-14,2023-11-28,673,47,Motor malfunction,True,1,SN45812670,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000018,Smartphone,Electronics,Nova,NV-100,SN45351479,CityWide Appliances,2022-08-17,486.24,12,2023-08-12,2023-07-04,321,39,Component failure,True,0,SN45351479,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000019,Television,Electronics,Vistara,VS-55UHD,SN95758349,HomeStyle Retail,2024-11-05,782.43,36,2027-10-21,2027-10-03,1062,18,Component failure,True,0,SN95758349,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000020,Smartphone,Electronics,Nova,NV-X1,SN10076758,HomeStyle Retail,2022-11-10,851.96,18,2024-05-03,2023-11-08,363,177,Display fault,True,0,SN10076758,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000021,Washing Machine,Home Appliance,Cleanwave,CW-750D,SN42138745,MegaMart Electronics,2022-02-09,424.93,12,2023-02-04,2022-12-13,307,53,Battery defect,True,0,SN42138745,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000022,Laptop,Electronics,Vertex,VT-14,SN81498611,TechHub Store,2022-06-11,900.17,12,2023-06-06,2023-04-23,316,44,Component failure,True,0,SN81498611,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000023,Smartphone,Electronics,Nova,NV-X1,SN91415657,HomeStyle Retail,2024-08-31,839.92,36,2027-08-16,2027-03-13,924,156,Component failure,True,0,SN91415657,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000024,Refrigerator,Home Appliance,FrostLine,FL-300X,SN63551839,CityWide Appliances,2025-01-09,993.42,24,2026-12-30,2026-12-15,705,15,Compressor failure,True,0,SN63551839,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000025,Laptop,Electronics,Vertex,VT-14,SN43273328,MegaMart Electronics,2024-02-04,990.21,18,2025-07-28,2025-02-07,369,171,Motor malfunction,True,0,SN43273328,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000026,Washing Machine,Home Appliance,Cleanwave,CW-700,SN10965138,MegaMart Electronics,2022-02-13,1006.53,24,2024-02-03,2023-11-07,632,88,Compressor failure,True,0,SN10965138,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000027,Television,Electronics,Vistara,VS-55UHD,SN19510312,HomeStyle Retail,2022-05-01,327.23,12,2023-04-26,2023-04-23,357,3,Motor malfunction,True,0,SN19510312,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000028,Smartphone,Electronics,Nova,NV-X1,SN87337818,HomeStyle Retail,2024-09-21,887.17,12,2025-09-16,2024-12-05,75,285,Display fault,True,0,SN87337818,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000029,Smartphone,Electronics,Nova,NV-200,SN57553014,HomeStyle Retail,2024-04-13,470.44,12,2025-04-08,2025-02-04,297,63,Display fault,True,0,SN57553014,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000030,Television,Electronics,Vistara,VS-43,SN18135295,HomeStyle Retail,2022-04-21,819.19,24,2024-04-10,2024-02-29,679,41,Motor malfunction,True,0,SN18135295,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000031,Smartphone,Electronics,Nova,NV-200,SN28814949,HomeStyle Retail,2022-08-12,764.08,12,2023-08-07,2022-09-23,42,318,Motor malfunction,True,1,SN28814949,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000032,Television,Electronics,Vistara,VS-55UHD,SN83863413,MegaMart Electronics,2024-08-05,913.49,12,2025-07-31,2025-07-07,336,24,Compressor failure,True,1,SN83863413,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000033,Television,Electronics,Vistara,VS-43,SN32321899,HomeStyle Retail,2025-01-12,579.64,24,2027-01-02,2026-06-19,523,197,Display fault,True,0,SN32321899,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000034,Television,Electronics,Vistara,VS-43,SN60864911,MegaMart Electronics,2023-03-14,803.14,36,2026-02-26,2026-01-26,1049,31,Display fault,True,0,SN60864911,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000035,Air Conditioner,Home Appliance,Chillmax,CM-1.5T,SN66775103,TechHub Store,2023-06-28,63.62,36,2026-06-12,2025-11-20,876,204,Compressor failure,True,0,SN66775103,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000036,Laptop,Electronics,Vertex,VT-14,SN49823450,MegaMart Electronics,2025-02-12,728.61,24,2027-02-02,2027-01-18,705,15,Manufacturing defect,True,0,SN49823450,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000037,Smartphone,Electronics,Nova,NV-200,SN17672593,MegaMart Electronics,2025-04-01,698.9,24,2027-03-22,2026-04-13,377,343,Display fault,True,0,SN17672593,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000038,Laptop,Electronics,Vertex,VT-14,SN78159587,MegaMart Electronics,2024-10-26,189.92,36,2027-10-11,2027-08-18,1026,54,Component failure,True,2,SN78159587,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000039,Refrigerator,Home Appliance,FrostLine,FL-220,SN64193837,MegaMart Electronics,2022-05-21,562.15,24,2024-05-10,2024-02-18,638,82,Battery defect,True,0,SN64193837,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000040,Smartphone,Electronics,Nova,NV-100,SN66267415,TechHub Store,2023-05-20,424.19,24,2025-05-09,2025-01-17,608,112,Battery defect,True,0,SN66267415,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000041,Washing Machine,Home Appliance,Cleanwave,CW-750D,SN42035886,MegaMart Electronics,2024-12-06,1050.49,12,2025-12-01,2025-11-25,354,6,Component failure,True,0,SN42035886,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000042,Television,Electronics,Vistara,VS-43,SN11250299,HomeStyle Retail,2023-09-07,591.07,18,2025-02-28,2025-02-10,522,18,Battery defect,True,0,SN11250299,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000043,Smartphone,Electronics,Nova,NV-200,SN27778019,CityWide Appliances,2022-07-24,824.56,12,2023-07-19,2022-08-08,15,345,Manufacturing defect,True,1,SN27778019,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000044,Smartphone,Electronics,Nova,NV-X1,SN50603163,HomeStyle Retail,2023-05-16,388.42,18,2024-11-06,2024-06-03,384,156,Compressor failure,True,0,SN50603163,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000045,Air Conditioner,Home Appliance,Chillmax,CM-1.5T,SN99038526,MegaMart Electronics,2024-12-19,1084.86,12,2025-12-14,2025-08-16,240,120,Component failure,True,0,SN99038526,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000046,Smartphone,Electronics,Nova,NV-X1,SN30863865,MegaMart Electronics,2023-06-26,1148.33,12,2024-06-20,2023-11-17,144,216,Battery defect,True,0,SN30863865,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000047,Smartphone,Electronics,Nova,NV-X1,SN45431319,HomeStyle Retail,2023-03-08,672.67,24,2025-02-25,2025-02-01,696,24,Motor malfunction,True,0,SN45431319,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000048,Laptop,Electronics,Vertex,VT-15Pro,SN15917225,MegaMart Electronics,2022-04-15,535.46,12,2023-04-10,2023-04-08,358,2,Component failure,True,0,SN15917225,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000049,Laptop,Electronics,Vertex,VT-15Pro,SN85283645,MegaMart Electronics,2023-06-21,408.33,12,2024-06-15,2024-05-16,330,30,Manufacturing defect,True,0,SN85283645,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000050,Air Conditioner,Home Appliance,Chillmax,CM-1T,SN67684996,MegaMart Electronics,2022-11-02,1049.18,18,2024-04-25,2024-02-27,482,58,Motor malfunction,True,1,SN67684996,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000051,Air Conditioner,Home Appliance,Chillmax,CM-1T,SN58024342,MegaMart Electronics,2024-01-17,787.63,36,2027-01-01,2026-11-12,1030,50,Component failure,True,0,SN58024342,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000052,Laptop,Electronics,Vertex,VT-15Pro,SN93303777,TechHub Store,2022-07-30,776.52,18,2024-01-21,2023-07-02,337,203,Component failure,True,0,SN93303777,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000053,Air Conditioner,Home Appliance,Chillmax,CM-1.5T,SN13326769,MegaMart Electronics,2022-11-29,797.79,36,2025-11-13,2025-08-15,990,90,Motor malfunction,True,2,SN13326769,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000054,Television,Electronics,Vistara,VS-43,SN45810056,MegaMart Electronics,2024-04-23,603.17,24,2026-04-13,2026-02-23,671,49,Compressor failure,True,0,SN45810056,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000055,Smartphone,Electronics,Nova,NV-200,SN39854548,MegaMart Electronics,2022-08-10,790.51,18,2024-02-01,2023-08-30,385,155,Display fault,True,0,SN39854548,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000056,Air Conditioner,Home Appliance,Chillmax,CM-1T,SN39920292,MegaMart Electronics,2023-12-18,1283.38,12,2024-12-12,2024-11-21,339,21,Component failure,True,1,SN39920292,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000057,Television,Electronics,Vistara,VS-55UHD,SN57130035,TechHub Store,2024-03-27,716.67,12,2025-03-22,2025-03-21,359,1,Display fault,True,0,SN57130035,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000058,Smartphone,Electronics,Nova,NV-200,SN33966966,HomeStyle Retail,2025-01-03,487.49,12,2025-12-29,2025-12-08,339,21,Motor malfunction,True,0,SN33966966,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000059,Laptop,Electronics,Vertex,VT-15Pro,SN68571795,HomeStyle Retail,2022-03-20,378.98,12,2023-03-15,2022-10-25,219,141,Battery defect,True,0,SN68571795,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000060,Laptop,Electronics,Vertex,VT-15Pro,SN15957459,TechHub Store,2022-08-25,799.37,18,2024-02-16,2024-01-15,508,32,Manufacturing defect,True,0,SN15957459,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000061,Laptop,Electronics,Vertex,VT-14,SN58884978,HomeStyle Retail,2024-11-30,869.17,36,2027-11-15,2027-06-04,916,164,Compressor failure,True,0,SN58884978,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000062,Refrigerator,Home Appliance,FrostLine,FL-220,SN50308572,HomeStyle Retail,2023-11-08,1030.03,24,2025-10-28,2025-07-20,620,100,Compressor failure,True,0,SN50308572,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000063,Refrigerator,Home Appliance,FrostLine,FL-220,SN35748341,HomeStyle Retail,2024-04-16,619.8,12,2025-04-11,2025-02-15,305,55,Display fault,True,1,SN35748341,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000064,Washing Machine,Home Appliance,Cleanwave,CW-700,SN50785405,MegaMart Electronics,2022-12-23,643.02,24,2024-12-12,2024-03-20,453,267,Display fault,True,0,SN50785405,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000065,Washing Machine,Home Appliance,Cleanwave,CW-750D,SN69345683,TechHub Store,2025-04-02,1761.34,24,2027-03-23,2026-09-14,530,190,Battery defect,True,0,SN69345683,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,validation
CLM-000066,Television,Electronics,Vistara,VS-43,SN98429450,MegaMart Electronics,2024-08-27,671.33,24,2026-08-17,2026-07-22,694,26,Battery defect,True,0,SN98429450,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000067,Television,Electronics,Vistara,VS-43,SN51663795,MegaMart Electronics,2023-11-18,659.55,12,2024-11-12,2024-10-04,321,39,Component failure,True,0,SN51663795,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000068,Washing Machine,Home Appliance,Cleanwave,CW-750D,SN92043803,TechHub Store,2022-10-29,856.76,12,2023-10-24,2022-11-20,22,338,Manufacturing defect,True,2,SN92043803,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000069,Refrigerator,Home Appliance,FrostLine,FL-220,SN61536717,HomeStyle Retail,2024-07-21,860.9,18,2026-01-12,2026-01-11,539,1,Component failure,True,3,SN61536717,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000070,Smartphone,Electronics,Nova,NV-100,SN67062156,MegaMart Electronics,2022-10-30,818.43,24,2024-10-19,2024-08-22,662,58,Compressor failure,True,1,SN67062156,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000071,Laptop,Electronics,Vertex,VT-14,SN71265269,MegaMart Electronics,2024-11-26,811.55,18,2026-05-20,2026-04-28,518,22,Display fault,True,0,SN71265269,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000072,Laptop,Electronics,Vertex,VT-15Pro,SN92228802,TechHub Store,2024-12-23,671.04,36,2027-12-08,2027-08-29,979,101,Battery defect,True,0,SN92228802,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000073,Laptop,Electronics,Vertex,VT-14,SN73709724,HomeStyle Retail,2024-05-23,890.56,24,2026-05-13,2026-01-19,606,114,Component failure,True,0,SN73709724,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000074,Laptop,Electronics,Vertex,VT-14,SN46855845,HomeStyle Retail,2023-07-22,661.68,24,2025-07-11,2025-02-18,577,143,Compressor failure,True,0,SN46855845,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000075,Washing Machine,Home Appliance,Cleanwave,CW-700,SN28572252,MegaMart Electronics,2023-08-09,1185.11,12,2024-08-03,2024-06-11,307,53,Display fault,True,1,SN28572252,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000076,Smartphone,Electronics,Nova,NV-200,SN54410148,HomeStyle Retail,2022-11-09,512.61,24,2024-10-29,2024-01-10,427,293,Display fault,True,0,SN54410148,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000077,Laptop,Electronics,Vertex,VT-14,SN87267850,HomeStyle Retail,2022-05-08,779.88,12,2023-05-03,2023-02-09,277,83,Manufacturing defect,True,0,SN87267850,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000078,Washing Machine,Home Appliance,Cleanwave,CW-750D,SN82238741,TechHub Store,2023-12-22,1257.7,12,2024-12-16,2024-06-09,170,190,Battery defect,True,1,SN82238741,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000079,Laptop,Electronics,Vertex,VT-15Pro,SN68496914,HomeStyle Retail,2025-05-20,687.54,36,2028-05-04,2028-03-09,1024,56,Display fault,True,0,SN68496914,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000080,Air Conditioner,Home Appliance,Chillmax,CM-1T,SN72732043,CityWide Appliances,2023-11-20,630.38,24,2025-11-09,2025-08-26,645,75,Battery defect,True,0,SN72732043,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000081,Washing Machine,Home Appliance,Cleanwave,CW-700,SN21267237,TechHub Store,2024-12-29,769.42,12,2025-12-24,2025-11-14,320,40,Component failure,True,0,SN21267237,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000082,Washing Machine,Home Appliance,Cleanwave,CW-750D,SN38408562,HomeStyle Retail,2024-08-03,925.26,12,2025-07-29,2025-01-03,153,207,Motor malfunction,True,0,SN38408562,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000083,Television,Electronics,Vistara,VS-55UHD,SN43859311,TechHub Store,2024-02-16,1004.99,12,2025-02-10,2025-01-25,344,16,Display fault,True,0,SN43859311,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000084,Smartphone,Electronics,Nova,NV-200,SN40094589,TechHub Store,2022-02-09,679.25,24,2024-01-30,2023-10-05,603,117,Compressor failure,True,0,SN40094589,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000085,Television,Electronics,Vistara,VS-43,SN12735359,HomeStyle Retail,2022-03-24,1193.51,24,2024-03-13,2024-03-07,714,6,Component failure,True,0,SN12735359,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000086,Smartphone,Electronics,Nova,NV-100,SN72415804,TechHub Store,2022-09-16,1069.38,18,2024-03-09,2023-10-06,385,155,Motor malfunction,True,1,SN72415804,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000087,Television,Electronics,Vistara,VS-43,SN31980274,CityWide Appliances,2022-12-10,499.44,24,2024-11-29,2024-10-14,674,46,Manufacturing defect,True,0,SN31980274,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000088,Washing Machine,Home Appliance,Cleanwave,CW-750D,SN63238057,CityWide Appliances,2025-03-31,1168.52,12,2026-03-26,2026-03-17,351,9,Component failure,True,0,SN63238057,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000089,Air Conditioner,Home Appliance,Chillmax,CM-1T,SN23676961,TechHub Store,2022-06-05,1059.07,24,2024-05-25,2023-04-27,326,394,Motor malfunction,True,0,SN23676961,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000090,Air Conditioner,Home Appliance,Chillmax,CM-1T,SN56600900,HomeStyle Retail,2025-05-14,1172.71,24,2027-05-04,2027-04-12,698,22,Compressor failure,True,0,SN56600900,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000091,Refrigerator,Home Appliance,FrostLine,FL-220,SN66379329,TechHub Store,2024-01-29,1456.12,12,2025-01-23,2024-12-20,326,34,Manufacturing defect,True,0,SN66379329,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000092,Refrigerator,Home Appliance,FrostLine,FL-300X,SN30534124,HomeStyle Retail,2024-06-06,1027.57,36,2027-05-22,2027-04-13,1041,39,Compressor failure,True,1,SN30534124,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,test
CLM-000093,Washing Machine,Home Appliance,Cleanwave,CW-750D,SN72394301,HomeStyle Retail,2024-12-04,482.05,36,2027-11-19,2027-08-15,984,96,Compressor failure,True,0,SN72394301,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000094,Air Conditioner,Home Appliance,Chillmax,CM-1T,SN47437115,CityWide Appliances,2025-04-28,1480.77,12,2026-04-23,2026-03-02,308,52,Component failure,True,1,SN47437115,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000095,Refrigerator,Home Appliance,FrostLine,FL-300X,SN13852048,HomeStyle Retail,2024-08-09,1039.8,24,2026-07-30,2026-07-16,706,14,Motor malfunction,True,0,SN13852048,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000096,Washing Machine,Home Appliance,Cleanwave,CW-750D,SN55679506,MegaMart Electronics,2023-01-08,1144.01,18,2024-07-01,2024-06-19,528,12,Battery defect,True,0,SN55679506,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
CLM-000097,Laptop,Electronics,Vertex,VT-14,SN21490777,MegaMart Electronics,2023-07-20,592.54,24,2025-07-09,2025-04-24,644,76,Display fault,True,0,SN21490777,True,"receipt,warranty_card,product_photo,serial_evidence,fault_evidence",0,False,False,Valid Claim,train
